OriginalName,Precursor,geneID,ensemblID,type,entrezID
ENSG00000003056,,M6PR,ENSG00000003056,ENS,4074
ENSG00000003096,,KLHL13,ENSG00000003096,ENS,90293
ENSG00000003137,,CYP26B1,ENSG00000003137,ENS,56603
ENSG00000003147,,ICA1,ENSG00000003147,ENS,3382
ENSG00000003249,,DBNDD1,ENSG00000003249,ENS,79007
ENSG00000003393,,ALS2,ENSG00000003393,ENS,57679
ENSG00000003402,,CFLAR,ENSG00000003402,ENS,8837
ENSG00000003436,,TFPI,ENSG00000003436,ENS,7035
ENSG00000003509,,NDUFAF7,ENSG00000003509,ENS,55471
ENSG00000003756,,RBM5,ENSG00000003756,ENS,10181
ENSG00000003987,,MTMR7,ENSG00000003987,ENS,9108
ENSG00000003989,,SLC7A2,ENSG00000003989,ENS,6542
ENSG00000004059,,ARF5,ENSG00000004059,ENS,381
ENSG00000004139,,SARM1,ENSG00000004139,ENS,23098
ENSG00000004142,,POLDIP2,ENSG00000004142,ENS,26073
ENSG00000004399,,PLXND1,ENSG00000004399,ENS,23129
ENSG00000004455,,AK2,ENSG00000004455,ENS,204
ENSG00000004478,,FKBP4,ENSG00000004478,ENS,2288
ENSG00000004487,,KDM1A,ENSG00000004487,ENS,23028
ENSG00000004534,,RBM6,ENSG00000004534,ENS,10180
ENSG00000004660,,CAMKK1,ENSG00000004660,ENS,84254
ENSG00000004700,,RECQL,ENSG00000004700,ENS,5965
ENSG00000004766,,VPS50,ENSG00000004766,ENS,55610
ENSG00000004776,,HSPB6,ENSG00000004776,ENS,126393
ENSG00000004777,,ARHGAP33,ENSG00000004777,ENS,115703
ENSG00000004779,,NDUFAB1,ENSG00000004779,ENS,4706
ENSG00000004799,,PDK4,ENSG00000004799,ENS,5166
ENSG00000004838,,ZMYND10,ENSG00000004838,ENS,51364
ENSG00000004864,,SLC25A13,ENSG00000004864,ENS,10165
ENSG00000004866,,ST7,ENSG00000004866,ENS,93655
ENSG00000004897,,CDC27,ENSG00000004897,ENS,996
ENSG00000004961,,HCCS,ENSG00000004961,ENS,3052
ENSG00000004975,,DVL2,ENSG00000004975,ENS,1856
ENSG00000005007,,UPF1,ENSG00000005007,ENS,5976
ENSG00000005020,,SKAP2,ENSG00000005020,ENS,8935
ENSG00000005022,,SLC25A5,ENSG00000005022,ENS,292
ENSG00000005059,,MCUB,ENSG00000005059,ENS,55013
ENSG00000005075,,POLR2J,ENSG00000005075,ENS,5439
ENSG00000005100,,DHX33,ENSG00000005100,ENS,56919
ENSG00000005108,,THSD7A,ENSG00000005108,ENS,221981
ENSG00000005156,,LIG3,ENSG00000005156,ENS,3980
ENSG00000005175,,RPAP3,ENSG00000005175,ENS,79657
ENSG00000005189,,REXO5,ENSG00000005189,ENS,81691
ENSG00000005194,,CIAPIN1,ENSG00000005194,ENS,57019
ENSG00000005206,,SPPL2B,ENSG00000005206,ENS,56928
ENSG00000005238,,FAM214B,ENSG00000005238,ENS,80256
ENSG00000005243,,COPZ2,ENSG00000005243,ENS,51226
ENSG00000005249,,PRKAR2B,ENSG00000005249,ENS,5577
ENSG00000005302,,MSL3,ENSG00000005302,ENS,10943
ENSG00000005339,,CREBBP,ENSG00000005339,ENS,1387
ENSG00000005379,,TSPOAP1,ENSG00000005379,ENS,9256
ENSG00000005436,,GCFC2,ENSG00000005436,ENS,6936
ENSG00000005448,,WDR54,ENSG00000005448,ENS,84058
ENSG00000005469,,CROT,ENSG00000005469,ENS,54677
ENSG00000005483,,KMT2E,ENSG00000005483,ENS,55904
ENSG00000005486,,RHBDD2,ENSG00000005486,ENS,57414
